"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"7198","k","s","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"4787","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4868","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"4838","x","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3994","x","f","g","FALSE","c","FALSE","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3014","x","f","w","FALSE","c","FALSE","c","n","p","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3523","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"5157","x","s","b","TRUE","f","FALSE","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","p"
"4817","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"7484","f","y","y","FALSE","n","FALSE","w","n","y","e","c","y","y","y","y","p","y","o","e","w","c","p"
"4387","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3406","x","s","g","FALSE","c","FALSE","w","n","p","e","b","s","s","w","w","p","w","o","p","n","s","p"
"4658","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"9","x","y","w","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"7181","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"1638","f","s","w","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"3540","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p"
"6535","x","s","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"3412","x","s","g","FALSE","c","FALSE","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3265","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"5825","f","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"7890","k","s","e","FALSE","s","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"3422","x","f","g","FALSE","c","FALSE","w","n","g","e","b","s","s","w","w","p","w","o","p","k","v","p"
"6281","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"300","x","y","w","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"6178","f","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"7244","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4541","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"5146","x","y","n","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6206","x","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"5380","x","y","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"7214","k","s","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"7508","k","y","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"5585","f","s","g","TRUE","f","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","h","s","p"
"5868","f","s","b","TRUE","n","FALSE","c","b","g","e","b","s","s","w","w","p","w","t","p","r","v","p"
"7612","k","y","e","FALSE","s","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"1859","f","s","w","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"5713","f","s","b","TRUE","f","FALSE","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","p"
"7253","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"4279","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3480","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"6318","k","s","n","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6954","k","s","n","FALSE","s","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"5893","f","s","w","TRUE","f","FALSE","c","b","h","t","b","f","f","w","w","p","w","o","p","h","v","p"
"6477","x","s","n","FALSE","f","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"4622","f","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"1243","x","s","w","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"4902","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"5697","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","p"
"5210","x","s","g","TRUE","f","FALSE","c","b","h","t","b","f","f","w","w","p","w","o","p","h","s","p"
"5988","f","s","g","TRUE","f","FALSE","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","p"
"4120","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3595","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"5027","x","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"8102","k","s","e","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"7105","k","s","n","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"5901","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"6431","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"3933","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4953","f","s","w","TRUE","f","FALSE","c","b","w","t","b","f","f","w","w","p","w","o","p","h","s","p"
"749","x","s","n","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","p"
"6177","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"6252","x","s","e","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"5647","f","s","w","TRUE","f","FALSE","c","b","w","t","b","f","s","w","w","p","w","o","p","h","v","p"
"6849","f","s","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"7239","k","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"4901","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"7520","k","y","n","FALSE","s","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"7368","f","y","y","FALSE","n","FALSE","w","n","w","e","c","y","y","y","y","p","y","o","e","w","c","p"
"7158","x","s","n","FALSE","y","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"1096","f","y","n","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"6768","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"4595","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"7550","k","y","n","FALSE","f","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"5233","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4742","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"6451","f","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"5308","x","s","g","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","p"
"6566","f","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"5160","f","s","g","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","p"
"4651","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"7885","k","s","n","FALSE","y","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"8024","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4028","f","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4406","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"2927","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","y","p"
"5213","x","y","n","FALSE","y","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"5839","f","s","g","TRUE","f","FALSE","c","b","p","t","b","f","s","w","w","p","w","o","p","h","s","p"
"5226","f","s","b","TRUE","f","FALSE","c","b","h","t","b","f","f","w","w","p","w","o","p","h","v","p"
"4429","x","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"5779","x","s","b","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","p"
"3802","x","s","g","FALSE","c","FALSE","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"5640","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"1089","f","y","n","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"6698","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"6013","x","s","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6048","f","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"7866","k","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"4242","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4301","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"7199","f","y","n","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"4706","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"5634","b","y","b","TRUE","n","FALSE","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","p"
"7169","f","s","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"5500","x","s","w","TRUE","f","FALSE","c","b","p","t","b","f","f","w","w","p","w","o","p","h","s","p"
"3899","x","f","w","FALSE","c","FALSE","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"6442","x","s","n","FALSE","f","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4192","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"6940","k","s","e","FALSE","y","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"7816","k","s","e","FALSE","s","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"7579","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"7043","k","y","n","FALSE","y","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"3240","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"4138","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"8081","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"5338","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"4904","x","y","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"4717","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3163","x","f","p","FALSE","c","FALSE","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"6557","f","y","e","FALSE","s","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"7776","k","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"5044","x","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"5318","b","y","w","TRUE","n","FALSE","c","b","g","e","b","s","s","w","w","p","w","t","p","r","v","p"
"3905","x","f","w","FALSE","c","FALSE","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"4660","x","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"6539","x","y","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"7988","x","s","n","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"493","x","s","n","TRUE","p","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","p"
"4551","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4529","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"6054","f","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"6471","x","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"1167","x","s","n","TRUE","p","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","p"
"5879","x","y","n","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4402","f","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"1732","x","s","n","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","p"
"6967","k","y","n","FALSE","f","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"4159","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"6200","f","y","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"4438","f","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"8063","k","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"6920","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"6842","f","s","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"6230","f","y","n","FALSE","y","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"2893","x","f","w","FALSE","c","FALSE","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"6884","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"5306","x","y","n","FALSE","s","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"5450","f","s","w","TRUE","f","FALSE","c","b","p","t","b","f","f","w","w","p","w","o","p","h","s","p"
"6843","f","y","e","FALSE","f","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"7369","x","y","c","FALSE","m",NA,"c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","p"
"5510","f","s","w","TRUE","f","FALSE","c","b","p","t","b","f","f","w","w","p","w","o","p","h","v","p"
"3299","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"7088","k","y","e","FALSE","s","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"1040","x","s","n","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","p"
"7407","k","y","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"1295","f","s","w","TRUE","p","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","p"
"4702","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"5182","x","s","g","TRUE","f","FALSE","c","b","w","t","b","f","s","w","w","p","w","o","p","h","v","p"
"6368","x","s","n","FALSE","f","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"6917","k","s","e","FALSE","s","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"7121","x","s","n","FALSE","s","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"7813","k","y","n","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"6292","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"6401","f","s","e","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"6015","f","s","e","FALSE","y","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"4610","x","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4829","x","s","g","TRUE","f","FALSE","c","b","p","t","b","f","f","w","w","p","w","o","p","h","s","p"
"4774","x","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4921","f","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"7684","k","y","e","FALSE","f","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"5644","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"5442","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"4565","x","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","y","p"
"7743","k","s","n","FALSE","s","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"5502","x","y","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"6020","k","s","n","FALSE","y","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"4312","x","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"4391","x","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p"
"6005","f","y","n","FALSE","f","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"358","x","y","n","TRUE","p","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","p"
"3695","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"7437","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"6427","f","y","e","FALSE","s","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"3526","x","f","p","FALSE","c","FALSE","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"6801","f","s","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"4550","f","s","w","TRUE","n","FALSE","c","b","g","e","b","s","s","w","w","p","w","t","p","r","v","p"
"5168","x","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"5906","x","s","w","TRUE","f","FALSE","c","b","p","t","b","f","s","w","w","p","w","o","p","h","s","p"
"5851","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"2572","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4723","x","y","n","FALSE","f","FALSE","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"7712","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"5530","x","y","n","FALSE","f","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"4309","f","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4024","x","y","e","FALSE","y","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"6894","f","s","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"3879","x","s","p","FALSE","c","FALSE","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"2129","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"6413","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"7215","k","s","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"5790","b","s","p","TRUE","n","FALSE","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","p"
"5822","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"1381","x","s","w","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"6270","x","s","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"6541","x","s","e","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"8062","k","s","n","FALSE","s","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"7805","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6065","f","y","e","FALSE","s","FALSE","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"6709","f","s","n","FALSE","y","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"6494","f","s","e","FALSE","s","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"5448","x","s","g","TRUE","f","FALSE","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","p"
"6672","x","s","n","FALSE","y","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6720","x","s","e","FALSE","s","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"4447","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"1104","x","y","n","TRUE","p","FALSE","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","p"
"4407","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"5208","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"6400","x","y","e","FALSE","y","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"5121","f","s","b","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","p"
"6983","k","s","e","FALSE","s","FALSE","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"5511","f","s","g","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","s","p"
"5048","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"6988","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"6421","f","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"7781","k","s","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4091","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3174","x","f","g","FALSE","f","FALSE","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"6725","x","y","e","FALSE","s","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
